Polarization of Light 'Brewsters' Data File Tue, Feb 07, 2023 11:33 AM
Sensor Position (Degrees)	Light Intensity (Volts)
156.05000	0.00108
155.93333	0.00559
155.85000	0.00301
155.78333	0.00430
155.73333	0.00398
155.66667	0.00317
155.60000	0.00446
155.51667	0.00414
155.40000	0.00381
155.31667	0.00236
155.23333	0.00349
155.15000	0.00301
155.06667	0.00381
155.00000	0.00543
154.95000	0.00269
154.86667	0.00204
154.75000	0.00430
154.65000	0.00124
154.56667	0.00317
154.50000	0.00333
154.41667	0.00317
154.35000	0.00381
154.28333	0.00236
154.25000	0.00494
154.23333	0.00365
154.20000	0.00494
154.16667	0.00494
154.11667	0.00349
154.08333	0.00559
154.05000	0.00220
153.98333	0.00607
153.90000	0.00285
153.83333	0.00381
153.75000	0.00575
153.66667	0.00285
153.58333	0.00526
153.50000	0.00156
153.43333	0.00317
153.33333	0.00398
153.23333	0.00156
153.10000	0.00414
153.00000	0.00591
152.93333	0.00398
152.88333	0.00381
152.85000	0.00365
152.80000	0.00301
152.73333	0.00236
152.65000	0.00462
152.55000	0.00736
152.46667	0.00285
152.36667	0.00236
152.28333	0.00510
152.21667	0.00349
152.13333	0.00124
152.05000	0.00478
151.98333	0.00349
151.91667	0.00414
151.88333	0.00156
151.85000	0.00365
151.81667	0.00156
151.78333	0.00736
151.75000	0.00108
151.70000	0.00446
151.61667	0.00285
151.53333	0.00220
151.46667	0.00156
151.41667	0.00220
151.33333	0.00269
151.20000	0.00333
151.03333	0.00381
150.90000	0.00285
150.75000	0.00349
150.61667	0.00349
150.48333	0.00381
150.35000	0.00510
150.23333	0.00156
150.13333	0.00510
150.03333	0.00124
149.95000	0.00526
149.88333	0.00349
149.83333	0.00349
149.73333	0.00269
149.63333	0.00253
149.50000	0.00478
149.43333	0.00140
149.35000	0.00253
149.25000	0.00285
149.15000	0.00317
149.00000	0.00301
148.86667	0.00349
148.76667	0.00365
148.65000	0.00333
148.56667	0.00317
148.50000	0.00269
148.43333	0.00414
148.36667	0.00381
148.26667	0.00269
148.16667	0.00140
148.03333	0.00285
147.91667	0.00172
147.78333	0.00430
147.63333	0.00317
147.51667	0.00172
147.41667	0.00236
147.31667	0.00398
147.21667	0.00027
147.11667	0.00462
147.03333	0.00253
146.93333	0.00430
146.80000	0.00478
146.65000	0.00301
146.48333	0.00478
146.33333	0.00156
146.18333	0.00478
146.06667	0.00140
145.98333	0.00333
145.90000	0.00478
145.81667	0.00301
145.70000	0.00285
145.56667	0.00333
145.45000	0.00172
145.33333	0.00301
145.16667	0.00462
144.93333	0.00349
144.73333	0.00365
144.56667	0.00172
144.41667	0.00172
144.30000	0.00253
144.16667	0.00333
144.03333	0.00204
143.93333	0.00108
143.81667	0.00269
143.73333	0.00269
143.66667	0.00349
143.60000	0.00204
143.56667	0.00365
143.50000	0.00349
143.40000	0.00236
143.31667	0.00075
143.18333	0.00365
143.08333	0.00027
143.00000	0.00220
142.91667	0.00027
142.81667	0.00317
142.71667	0.00172
142.60000	0.00172
142.50000	0.00220
142.40000	0.00204
142.31667	0.00253
142.21667	0.00172
142.11667	0.00285
142.05000	0.00365
141.98333	0.00253
141.90000	0.00398
141.80000	0.00124
141.66667	0.00398
141.55000	0.00140
141.46667	0.00236
141.38333	0.00188
141.31667	0.00269
141.25000	0.00269
141.16667	0.00204
141.08333	0.00301
141.00000	0.00188
140.90000	0.00140
140.81667	0.00172
140.71667	0.00172
140.60000	0.00220
140.41667	0.00156
140.20000	0.00253
139.96667	0.00253
139.78333	0.00188
139.66667	0.00365
139.58333	0.00349
139.50000	0.00156
139.43333	0.00124
139.36667	0.00204
139.28333	0.00301
139.21667	0.00108
139.11667	0.00220
139.00000	0.00092
138.88333	0.00059
138.78333	0.00140
138.71667	0.00092
138.68333	0.00108
138.63333	0.00108
138.58333	0.00365
138.48333	0.00092
138.36667	0.00236
138.25000	0.00253
138.10000	0.00333
137.96667	0.00043
137.86667	0.00430
137.76667	0.00156
137.63333	0.00236
137.51667	0.84241
137.41667	0.00398
137.31667	0.78393
137.23333	0.00430
137.16667	0.63107
137.10000	0.00398
137.01667	0.08419
136.95000	-0.00215
136.86667	0.43890
136.75000	0.00172
136.65000	0.67794
136.55000	0.00236
136.43333	0.00043
