Polarization of Light 'theta' Data File Tue, Feb 07, 2023 10:14 AM
Sensor Position (Radians)	Light Intensity (Volts)
-1.04283	1.57613
-1.04283	1.58097
-1.04720	1.59724
-1.05592	1.62849
-1.06029	1.66103
-1.06465	1.67729
-1.06901	1.69340
-1.07338	1.71241
-1.07774	1.73528
-1.08647	1.76041
-1.09519	1.80680
-1.11265	1.87607
-1.12574	1.93696
-1.13883	1.99366
-1.14319	2.01686
-1.14319	2.02668
-1.15192	2.05552
-1.16064	2.08854
-1.17373	2.14282
-1.18682	2.21885
-1.20428	2.27974
-1.20864	2.31373
-1.21300	2.32195
-1.21300	2.33339
-1.22173	2.35336
-1.23482	2.41650
-1.25227	2.48690
-1.25664	2.51750
-1.26536	2.55375
-1.27409	2.58145
-1.27845	2.60223
-1.29154	2.65475
-1.30027	2.69051
-1.31336	2.72579
-1.32209	2.75446
-1.32645	2.76960
-1.33518	2.81229
-1.35699	2.89267
-1.37445	2.93971
-1.39626	3.02524
-1.40063	3.04779
-1.40499	3.05101
-1.40499	3.05955
-1.41372	3.08903
-1.42244	3.12334
-1.42244	3.11964
-1.42244	3.12157
-1.42244	3.11609
-1.42244	3.11980
-1.42244	3.12060
-1.42244	3.12350
-1.42244	3.12463
-1.42244	3.12705
-1.42244	3.12608
-1.42244	3.12527
-1.42244	3.12801
-1.42244	3.12511
-1.42244	3.12656
-1.42244	3.12640
-1.42244	3.12495
-1.42244	3.12221
-1.42244	3.12656
-1.42244	3.12447
-1.42244	3.12866
-1.42244	3.12399
-1.42244	3.12576
-1.42244	3.12350
-1.42244	3.13091
-1.42244	3.12382
-1.42244	3.11770
-1.42244	3.11207
-1.42244	3.12366
-1.42244	3.12286
-1.42244	3.12689
-1.42244	3.12431
-1.42244	3.12495
-1.42681	3.13027
-1.42681	3.12785
-1.42681	3.13107
-1.42681	3.13575
-1.42681	3.13591
-1.43117	3.14670
-1.44426	3.18455
-1.46171	3.23304
-1.48353	3.28394
-1.50971	3.33291
-1.52716	3.37174
-1.54462	3.40202
-1.56207	3.42634
-1.57952	3.44326
-1.59261	3.45808
-1.60570	3.47113
-1.61879	3.47998
-1.63188	3.48401
-1.64497	3.48820
-1.65806	3.48836
-1.67552	3.48723
-1.69297	3.48369
-1.70606	3.47660
-1.73224	3.45920
-1.75842	3.43198
-1.78460	3.39348
-1.80205	3.36143
-1.81514	3.34226
-1.82387	3.31729
-1.83260	3.30054
-1.84132	3.27573
-1.85441	3.25430
-1.86750	3.21597
-1.88059	3.18407
-1.89368	3.14332
-1.90677	3.10756
-1.91986	3.07437
-1.92423	3.04989
-1.92859	3.04473
-1.92859	3.04215
-1.92859	3.04328
-1.92859	3.04425
-1.92859	3.04006
-1.92859	3.03330
-1.93732	3.00688
-1.94604	2.98465
-1.95477	2.95259
-1.96350	2.91748
-1.97222	2.89444
-1.98095	2.86577
-1.98531	2.84241
-1.99840	2.80246
-2.01149	2.75269
-2.02458	2.69502
-2.03767	2.64299
-2.05076	2.59627
-2.06385	2.54312
-2.08131	2.48303
-2.09440	2.41650
-2.11621	2.33741
-2.13367	2.24737
-2.15112	2.17246
-2.16857	2.11270
-2.18166	2.05616
-2.19039	2.00993
-2.20348	1.95613
-2.21657	1.89508
-2.24275	1.78892
-2.26456	1.68036
-2.28638	1.58693
-2.29947	1.52620
-2.31692	1.46032
-2.33001	1.39492
-2.34310	1.34031
-2.35619	1.28876
-2.36928	1.22884
-2.38237	1.17311
-2.39546	1.13815
-2.40419	1.10545
-2.40419	1.09627
-2.40855	1.08757
-2.40855	1.08097
-2.40855	1.08226
-2.40855	1.08226
-2.40855	1.08000
-2.40855	1.08145
-2.40855	1.07775
-2.41728	1.04827
-2.43473	0.98915
-2.45219	0.92923
-2.46528	0.88026
-2.47837	0.83822
-2.49582	0.77846
-2.51327	0.72224
-2.53073	0.66683
-2.53509	0.65539
-2.53945	0.64830
-2.54382	0.62446
-2.54818	0.61238
-2.55254	0.60094
-2.55691	0.59209
-2.55691	0.59080
-2.55691	0.59176
-2.56127	0.58419
-2.56563	0.57034
-2.57000	0.55310
-2.57436	0.55214
-2.57436	0.53941
-2.57872	0.53555
-2.59618	0.49109
-2.61363	0.44776
-2.63108	0.41038
-2.64417	0.37913
-2.64854	0.37156
-2.65726	0.35352
-2.67035	0.33097
-2.67472	0.31953
-2.68781	0.29972
-2.70962	0.25929
-2.73580	0.21966
-2.77071	0.17698
-2.79689	0.14218
-2.80998	0.12624
-2.82307	0.12221
-2.82743	0.11158
-2.84489	0.09595
-2.86234	0.08468
-2.87979	0.07099
-2.88852	0.06358
-2.90597	0.05311
-2.91470	0.05037
-2.92779	0.03941
-2.94088	0.03829
-2.95833	0.02943
-2.96706	0.02782
-2.97142	0.02379
-2.98015	0.02137
-2.98015	0.02153
-2.98015	0.01928
-2.98015	0.02186
-2.98015	0.01960
-2.98015	0.02041
-2.98015	0.01944
-2.98015	0.02234
-2.98015	0.02008
-2.98015	0.02105
-2.98015	0.02089
-2.98015	0.01976
-2.98015	0.02202
-2.98015	0.01976
-2.98015	0.02169
-2.98015	0.02137
-2.98015	0.02121
-2.98015	0.02121
-2.98015	0.02137
-2.98451	0.02218
-2.98451	0.01896
-2.98451	0.01863
-2.98888	0.01815
-2.99324	0.01831
-3.00197	0.01461
-3.01069	0.01058
-3.01506	0.01300
-3.01942	0.01106
-3.02378	0.00832
-3.02815	0.00832
-3.03687	0.00414
-3.04560	0.00800
-3.06305	0.00059
-3.08051	0.00092
-3.09796	-0.00166
-3.11541	-0.00537
-3.13287	-0.00682
-3.15032	-0.00440
