Polarization of Light 'theta' Data File Tue, Feb 07, 2023 10:14 AM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	-0.00488
0.00000	0.00011
0.00000	-0.00504
0.00000	-0.00601
0.00000	-0.00666
0.00000	-0.00537
0.00000	-0.00504
0.00000	-0.00714
0.00000	-0.00666
0.00000	-0.00843
0.00000	-0.00714
0.00000	-0.00279
0.00000	-0.00746
0.00000	-0.00376
0.00000	-0.00666
0.00000	-0.00794
0.00000	-0.00601
0.00000	-0.00553
0.00000	-0.00521
0.00000	-0.00794
0.00000	-0.00360
0.00000	-0.00666
0.00000	-0.00521
0.00000	-0.00521
0.00000	-0.00617
0.00000	-0.00521
0.00000	-0.00956
0.00000	-0.00343
0.00000	-0.01020
0.00000	-0.00472
0.00000	-0.00424
0.00000	-0.00794
0.00000	-0.00617
0.00000	-0.00666
0.00000	-0.00553
0.00000	-0.00553
0.00000	-0.00617
0.00000	-0.00488
0.00000	-0.00746
0.00000	-0.00875
0.00000	-0.00666
0.00000	-0.00488
-0.00436	-0.00746
-0.00436	-0.00585
-0.00436	-0.00746
-0.00436	-0.00521
-0.01309	-0.00746
-0.02182	-0.00746
-0.03054	-0.00859
-0.04363	-0.00682
-0.05672	-0.00827
-0.06545	-0.00923
-0.07854	-0.00939
-0.08727	-0.00666
-0.09163	-0.00827
-0.10036	-0.01100
-0.10472	-0.00939
-0.10908	-0.00907
-0.11345	-0.00778
-0.11781	-0.01133
-0.11781	-0.00811
-0.12217	-0.00811
-0.12217	-0.00956
-0.12654	-0.00827
-0.12654	-0.01133
-0.13090	-0.00682
-0.13526	-0.00972
-0.13963	-0.01036
-0.13963	-0.00633
-0.14399	-0.00923
-0.14399	-0.00891
-0.14835	-0.00698
-0.14835	-0.00972
-0.15272	-0.00762
-0.16144	-0.00956
-0.16581	-0.00682
-0.17453	-0.00956
-0.17890	-0.00472
-0.17890	-0.00778
-0.18326	-0.00956
-0.18762	-0.00537
-0.19199	-0.00746
-0.19635	-0.00585
-0.20071	-0.00698
-0.20944	-0.00762
-0.21380	-0.00569
-0.21817	-0.00488
-0.22253	-0.00488
-0.23126	-0.00408
-0.23998	-0.00376
-0.24435	-0.00134
-0.24871	-0.00408
-0.25307	-0.00360
-0.25744	-0.00102
-0.26180	-0.00070
-0.27053	0.00092
-0.27489	0.00172
-0.27925	0.00156
-0.28362	0.00188
-0.28798	0.00333
-0.28798	0.00543
-0.28798	0.00381
-0.29234	0.00349
-0.29234	0.00543
-0.29671	0.00704
-0.29671	0.00333
-0.30543	0.00639
-0.30980	0.00333
-0.31416	0.00994
-0.31416	0.00559
-0.31416	0.00881
-0.31852	0.00994
-0.32289	0.00768
-0.32289	0.01106
-0.32289	0.01074
-0.32725	0.00913
-0.33161	0.01428
-0.33598	0.01171
-0.34034	0.01606
-0.34034	0.01428
-0.34470	0.01606
-0.34470	0.01767
-0.34470	0.01412
-0.34907	0.01670
-0.34907	0.01670
-0.35343	0.01654
-0.35343	0.02121
-0.35343	0.02008
-0.35779	0.01831
-0.35779	0.02121
-0.36216	0.02008
-0.37088	0.02733
-0.37525	0.03104
-0.37961	0.02814
-0.37961	0.02604
-0.37961	0.02765
-0.37961	0.02749
-0.38397	0.03007
-0.39270	0.03184
-0.40143	0.03796
-0.41015	0.04457
-0.41452	0.04328
-0.41888	0.04747
-0.42324	0.04634
-0.42761	0.05343
-0.43633	0.05778
-0.44506	0.06116
-0.45379	0.07018
-0.45815	0.07099
-0.45815	0.07163
-0.46251	0.06793
-0.47124	0.08146
-0.47560	0.08210
-0.47997	0.08983
-0.48869	0.09466
-0.49306	0.09917
-0.49742	0.10352
-0.50178	0.10433
-0.50615	0.10965
-0.51051	0.11577
-0.51924	0.12108
-0.52360	0.12414
-0.52360	0.12930
-0.52796	0.13236
-0.53233	0.13461
-0.53669	0.14218
-0.54105	0.14814
-0.54978	0.15008
-0.55414	0.16280
-0.55851	0.16474
-0.56287	0.17359
-0.57160	0.17859
-0.57596	0.19099
-0.58032	0.19180
-0.58469	0.20291
-0.58905	0.20517
-0.58905	0.20855
-0.59341	0.21209
-0.59778	0.21676
-0.60214	0.22868
-0.61087	0.24028
-0.62396	0.25832
-0.63268	0.27588
-0.64141	0.28845
-0.64577	0.30004
-0.65450	0.31905
-0.66323	0.32614
-0.66323	0.33564
-0.66759	0.33999
-0.67195	0.35095
-0.67632	0.35707
-0.68068	0.36593
-0.68941	0.38413
-0.69377	0.39798
-0.69813	0.40732
-0.70250	0.41715
-0.70686	0.41989
-0.70686	0.43068
-0.71558	0.44147
-0.71995	0.45355
-0.71995	0.45903
-0.72431	0.46386
-0.72431	0.46274
-0.72431	0.46451
-0.72431	0.46741
-0.72867	0.47707
-0.72867	0.48384
-0.73304	0.48980
-0.73740	0.50123
-0.74176	0.51267
-0.74176	0.51138
-0.74176	0.51332
-0.74613	0.52395
-0.75049	0.53232
-0.75485	0.54376
-0.75922	0.55391
-0.76358	0.56551
-0.76358	0.56857
-0.76358	0.57050
-0.76794	0.58065
-0.77231	0.59418
-0.77667	0.60223
-0.77667	0.60932
-0.77667	0.60819
-0.77667	0.60852
-0.77667	0.60884
-0.77667	0.61158
-0.78103	0.61254
-0.78103	0.62027
-0.78540	0.63042
-0.78976	0.63606
-0.78976	0.64460
-0.78976	0.64508
-0.79412	0.65040
-0.79849	0.66779
-0.81158	0.70565
-0.82903	0.76074
-0.83776	0.78748
-0.83776	0.78764
-0.83776	0.78554
-0.83776	0.78796
-0.83776	0.78490
-0.83776	0.79521
-0.83776	0.79199
-0.83776	0.79634
-0.84212	0.79811
-0.84212	0.80842
-0.84648	0.81180
-0.85521	0.84144
-0.85957	0.85739
-0.86394	0.88316
-0.87266	0.90249
-0.87266	0.91280
-0.87703	0.92101
-0.88139	0.93809
-0.88575	0.94840
-0.89012	0.96322
-0.89012	0.97320
-0.89448	0.98770
-0.89884	1.00091
-0.90321	1.01460
-0.90321	1.01992
-0.90321	1.02250
-0.90757	1.03603
-0.91193	1.05133
-0.91630	1.06051
-0.92066	1.07581
-0.92066	1.07855
-0.92066	1.08210
-0.92066	1.08355
-0.92066	1.08483
-0.92066	1.08580
-0.92066	1.08677
-0.92502	1.08596
-0.92939	1.11882
-0.93811	1.14621
-0.94248	1.15797
-0.94684	1.17391
-0.95120	1.18922
-0.95993	1.23077
-0.97738	1.30133
-0.98611	1.34804
-0.99047	1.35400
-0.99047	1.35046
-0.99047	1.35304
-0.99047	1.35529
-0.99484	1.36850
-0.99484	1.37720
-1.00356	1.40088
-1.00356	1.41795
-1.00793	1.43245
-1.01229	1.44872
-1.02102	1.48222
-1.02974	1.51589
-1.03847	1.56389
-1.04283	1.57952
